기준_년월_코드,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수
201810,1744,희우정로16길,CS300011,화장품,1
201810,1744,희우정로16길,CS300010,문구점,5
201810,1744,희우정로16길,CS300009,약국,1
201810,1744,희우정로16길,CS300008,패션잡화,1
201810,1744,희우정로16길,CS300007,의류점,8
201810,1744,희우정로16길,CS300005,정육점,1
201810,1744,희우정로16길,CS300002,편의점,1
201810,1744,희우정로16길,CS300001,슈퍼마켓,4
201810,1744,희우정로16길,CS200021,자동차수리,2
201810,1744,희우정로16길,CS200020,세탁소,1
201810,1744,희우정로16길,CS200019,여관업,1
201810,1744,희우정로16길,CS200018,피부관리실,3
201810,1744,희우정로16길,CS200016,미용실,11
201810,1744,희우정로16길,CS200012,당구장,1
201810,1744,희우정로16길,CS200010,노래방,1
201810,1744,희우정로16길,CS200009,인테리어,7
201810,1744,희우정로16길,CS200008,부동산중개업,12
201810,1744,희우정로16길,CS200007,보육시설,4
201810,1744,희우정로16길,CS200006,일반의원,1
201810,1744,희우정로16길,CS200003,예체능학원,4
201810,1744,희우정로16길,CS200001,입시보습학원,2
201810,1744,희우정로16길,CS100010,호프간이주점,4
201810,1744,희우정로16길,CS100009,커피음료,14
201810,1744,희우정로16길,CS100008,제과점,3
201810,1744,희우정로16길,CS100007,치킨집,1
201810,1744,희우정로16길,CS100006,패스트푸드점,1
201810,1744,희우정로16길,CS100005,분식집,2
201810,1744,희우정로16길,CS100004,양식집,4
201810,1744,희우정로16길,CS100002,중국집,2
201810,1744,희우정로16길,CS100001,한식음식점,3
201810,1743,휘경로3길,CS300011,화장품,4
201810,1743,휘경로3길,CS300010,문구점,1
201810,1743,휘경로3길,CS300009,약국,4
201810,1743,휘경로3길,CS300008,패션잡화,9
201810,1743,휘경로3길,CS300007,의류점,3
201810,1743,휘경로3길,CS300005,정육점,1
201810,1743,휘경로3길,CS300004,휴대폰,2
201810,1743,휘경로3길,CS300002,편의점,2
201810,1743,휘경로3길,CS300001,슈퍼마켓,2
201810,1743,휘경로3길,CS200020,세탁소,2
201810,1743,휘경로3길,CS200019,여관업,1
201810,1743,휘경로3길,CS200018,피부관리실,3
201810,1743,휘경로3길,CS200017,네일숍,3
201810,1743,휘경로3길,CS200016,미용실,16
201810,1743,휘경로3길,CS200014,헬스클럽,3
201810,1743,휘경로3길,CS200012,당구장,1
201810,1743,휘경로3길,CS200011,PC방,6
201810,1743,휘경로3길,CS200010,노래방,4
201810,1743,휘경로3길,CS200009,인테리어,5
201810,1743,휘경로3길,CS200008,부동산중개업,6
201810,1743,휘경로3길,CS200006,일반의원,3
201810,1743,휘경로3길,CS200005,한의원,2
201810,1743,휘경로3길,CS200004,치과의원,3
201810,1743,휘경로3길,CS200003,예체능학원,4
201810,1743,휘경로3길,CS200001,입시보습학원,2
201810,1743,휘경로3길,CS100010,호프간이주점,10
201810,1743,휘경로3길,CS100009,커피음료,3
201810,1743,휘경로3길,CS100008,제과점,1
201810,1743,휘경로3길,CS100007,치킨집,1
